project_code,band_predictions,probabilties
2013.1.00955.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[2.453356006230676e-10, 0.05057698385596549, 0.0010363356532201125, 4.234560296732582e-05, 0.7728732981010807, 0.17531465902896468, 0.00014674175075041757, 9.590772758386592e-06, 4.4988955442264286e-08]"
2015.1.01287.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[7.998840109617417e-10, 0.1324856309350951, 0.005143369591427548, 8.663656509248354e-05, 0.7198148588003487, 0.14220101412713773, 0.00025328229387021556, 1.5126994278032588e-05, 7.98928686664591e-08]"
2023.1.01197.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[4.0404255809297084e-09, 0.1031430146834916, 0.001638592221971295, 6.112330127467595e-05, 0.7468363544944391, 0.1476645436451262, 0.0006381614611277852, 1.799791933771875e-05, 2.0823280522961635e-07]"
2012.1.00799.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[2.6349049024529663e-08, 0.07177411751937972, 0.00622496908694161, 0.0003396295965141974, 0.5833019239954681, 0.337130410117207, 0.001016091045634192, 0.00021110229215634665, 1.729997650060143e-06]"
2012.1.00385.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[6.348455094935512e-08, 0.04177957192519881, 0.003373828599694384, 0.0005491521265421727, 0.6978505559304087, 0.2535197490279454, 0.002700329093445134, 0.00022351301488326395, 3.2367973297172607e-06]"
2019.1.01117.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[2.341206505573607e-08, 0.270629780733687, 0.009545421899849317, 0.0009243859138201335, 0.5248596575628691, 0.19058858062004383, 0.003386108501912188, 6.355829594160181e-05, 2.4830598131514823e-06]"
2018.1.01563.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[6.289659382263506e-09, 0.04837716155974753, 0.004992820839074808, 0.00010975145358609891, 0.7778983835320659, 0.1683074338965153, 0.0002797631874195723, 3.4400778472792484e-05, 2.78463455382312e-07]"
2017.1.00786.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[2.0045625934243707e-07, 0.028697961358765022, 0.009030223941965966, 0.0009628182860327993, 0.5801597090570311, 0.3753850390259528, 0.005219829075954857, 0.0005331949791767896, 1.1023818862615045e-05]"
2017.1.01340.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[2.5107310518047426e-08, 0.5793915574585072, 0.022550202602157343, 0.0006077021984772061, 0.3173389695665392, 0.07779529618496132, 0.0022932052977703023, 2.1665623656845297e-05, 1.3759606186879988e-06]"
2016.1.00794.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[3.698354365586226e-07, 0.0923189374787061, 0.006453799929857584, 0.0008682471110625348, 0.8171536445719381, 0.07720878438172951, 0.005450876881468385, 0.0005323991184475854, 1.2940691352959768e-05]"
2023.1.00158.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[2.20574050171616e-09, 0.031310308098205036, 0.003340253542486725, 8.585536017187543e-05, 0.7147636187635332, 0.25017831477050556, 0.000257436427070003, 6.400805793622144e-05, 2.0277435362990468e-07]"
2023.1.01206.S,"[1, 10, 9, 5, 4, 8, 7, 6, 3]","[1.0209778626779575e-07, 0.7232994252375814, 0.00756770705473441, 0.00035857427580317854, 0.20795854086643045, 0.039210440974438446, 0.0214079324604403, 0.0001926776832081493, 4.599349574096687e-06]"
2011.0.00010.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[2.606088911606657e-10, 0.4917352995621356, 0.0033300771821358722, 6.350968614433173e-05, 0.4068871171820392, 0.09717190109915098, 0.0007944029577440077, 1.7602938544156603e-05, 8.913149423557763e-08]"
2019.A.00015.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.4620461103112944e-07, 0.5307093918736282, 0.025212944700464656, 0.002867697594957372, 0.28917932577867744, 0.137119068678508, 0.01442823207938764, 0.00047444005371439276, 8.753036049689869e-06]"
2018.1.01631.S,"[1, 10, 9, 8, 5, 4, 3, 6, 7]","[1.2870305817012906e-09, 0.06173614506813482, 0.005403787747086519, 0.0010767224634174958, 0.3692018664901457, 0.5622296036422867, 0.000317197005793685, 3.438890487353649e-05, 2.8739123173435247e-07]"
2019.1.01008.T,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[4.884704008804019e-09, 0.03783883756881072, 0.007527593205147658, 0.0002214919242934524, 0.5438131595468035, 0.4103193512627058, 0.0002562281439163169, 2.2487213135459148e-05, 8.462504778806076e-07]"
2015.1.01151.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[2.145688748893377e-09, 0.4206374975453842, 0.0020679391220115844, 0.0001178687428504102, 0.4707065334256785, 0.1056743812000249, 0.0007821496257953067, 1.346287244105154e-05, 1.6532012326051684e-07]"
2021.1.01259.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[5.5415997427412826e-08, 0.3240709425960493, 0.005486395232739993, 0.0010796752839467632, 0.430819140256666, 0.2353751448128742, 0.0030703880711009687, 9.61512087420831e-05, 2.107121882151455e-06]"
2017.1.00077.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.3931719211354476e-09, 0.3617297763917491, 0.0016587982434758126, 4.1646662901176017e-05, 0.5293320265575685, 0.10678421229861368, 0.000438499848609343, 1.4885463370527003e-05, 1.5314053752684544e-07]"
2017.1.00560.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[2.3638497971892306e-09, 0.35796114987209715, 0.004713385261949835, 4.8961597775590476e-05, 0.5639555548251454, 0.07217635455567142, 0.0011317346635823283, 1.2723268787332583e-05, 1.3359113473573153e-07]"
2019.1.00437.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[5.11604431493833e-10, 0.10834054188534585, 0.002692906502642249, 4.970337076420805e-05, 0.6587429976062359, 0.22985485178470008, 0.00030335520190834085, 1.559712283967308e-05, 4.601396317906177e-08]"
2013.1.00349.S,"[1, 10, 5, 9, 8, 4, 3, 7, 6]","[5.474326913478296e-08, 0.08060333437629906, 0.0025757257198864903, 0.0001096194832343434, 0.5616795945551462, 0.3532369518133553, 0.0015901591835551423, 0.0002028493195806078, 1.7108056710072797e-06]"
2015.1.01013.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[6.728888810890139e-09, 0.30963032803845036, 0.0022448671144529465, 9.821441035866647e-05, 0.5665299998005314, 0.12008623339825873, 0.0013699104243442377, 3.9857092874256735e-05, 5.829918446606415e-07]"
2017.1.00991.V,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[5.268260489070729e-08, 0.2949602238966707, 0.0033054613411667376, 0.0002633168535159694, 0.6549279900808247, 0.04550603024270493, 0.000923299594675397, 0.00011171040891063053, 1.914898922633739e-06]"
2013.1.00883.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.1804892280848689e-08, 0.1253850475511451, 0.011036541966492917, 0.000645696593614684, 0.47554325486543636, 0.3847949628638555, 0.0022065026676417513, 0.00038666511447360953, 1.316572449785327e-06]"
2012.1.00784.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[7.727488692607586e-10, 0.15264208940390753, 0.006100397835644364, 0.00013734978292157362, 0.4868534435338624, 0.3527244858678108, 0.0014638461219529625, 7.823576008901027e-05, 1.5092106368844082e-07]"
2011.0.00273.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[3.591345747217132e-08, 0.26024717624731625, 0.004869749304572798, 0.0003940744459894534, 0.46675199912489534, 0.263913492706844, 0.0036704007392284695, 0.0001506067749801718, 2.4647427212552074e-06]"
2015.1.01426.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.9805522593926044e-05, 0.5281886906936036, 0.0563679420439689, 0.010272441713648085, 0.23913110758446798, 0.12328745962458915, 0.03859867498295762, 0.003820577923329936, 0.00031329991083938233]"
2021.1.00715.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[4.449350621294533e-09, 0.3105587184649352, 0.0005645665363061253, 4.364259867604128e-05, 0.6654754887030749, 0.022961454819485094, 0.0003797858739261738, 1.6108821711752863e-05, 2.2973253158526462e-07]"
2011.0.00121.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[7.896919804394669e-09, 0.34977385480696915, 0.0016965918037338084, 0.0004257733186587829, 0.5128642193862996, 0.1339009613852503, 0.001300083616092651, 3.8066256953907687e-05, 4.4152912269331526e-07]"
2012.1.00033.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.903813845284267e-09, 0.2332736175373189, 0.003985382836704183, 9.968393527622021e-05, 0.6629986463694839, 0.09801523033809485, 0.0015985429323059149, 2.868059018435678e-05, 2.1355681182797911e-07]"
2019.1.01003.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[2.150675570039795e-08, 0.3268498049081851, 0.008386909110313596, 0.0003208554069308164, 0.588520624951342, 0.07302821730775436, 0.0028273203297933696, 6.470239597858332e-05, 1.5440829436603694e-06]"
2019.1.00037.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[8.65048545693704e-09, 0.09680356577066525, 0.00342585433402968, 0.00016494478806592237, 0.4824385517891427, 0.4167294293921152, 0.0003966153184572049, 4.061911344872061e-05, 4.108435932416397e-07]"
2019.1.00652.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.284434269395977e-10, 0.47034845349482884, 0.0018996876760433638, 2.9076913284444643e-05, 0.44470690116691836, 0.08244001897714509, 0.0005730472763912701, 2.795473167828931e-06, 1.889377940815112e-08]"
2023.1.00251.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.2056461152888208e-08, 0.4133173177680283, 0.012213756600468856, 0.00024702166046188185, 0.4940654919142917, 0.07781118774228137, 0.0023082868542558936, 3.6036485291167974e-05, 8.889184667425794e-07]"
2012.1.00368.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[7.544665696058944e-11, 0.2969372977469236, 0.0006893151574223325, 1.2704755041337074e-05, 0.5559070883593171, 0.14620071645632987, 0.000249179343012707, 3.6753324962533653e-06, 2.2774012070761284e-08]"
2019.1.01257.S,"[1, 10, 9, 5, 8, 4, 6, 7, 3]","[9.55427311759262e-08, 0.6799362740800717, 0.03065554105230443, 0.0007249558598471378, 0.13211356614872563, 0.14254959398007327, 0.013804834551422044, 0.00021292391428027742, 2.2148705425070177e-06]"
2021.2.00116.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.853363610596844e-09, 0.10697016180476347, 0.00461148647171221, 0.00014936663443571537, 0.6470916914761411, 0.24054191253154572, 0.0006050097834174801, 3.0071301570708185e-05, 2.981430498607934e-07]"
2016.1.01398.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[3.5530400467094275e-10, 0.3837084430595182, 0.0007649448782261584, 2.358523166443739e-05, 0.5396673651992538, 0.07569027470277359, 0.0001402944606679323, 5.049356803778673e-06, 4.275578632075262e-08]"
2012.1.00603.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[7.649135868505858e-10, 0.24868578002729716, 0.0003850822866520054, 2.4138764388745163e-05, 0.7072007026014553, 0.043539279709558634, 0.0001607350203358356, 4.197704008520062e-06, 8.312138759876372e-08]"
2015.1.00762.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[6.2105989103717155e-09, 0.03877379097154839, 0.005708694856368169, 0.00019174400156115977, 0.6577556027775481, 0.29676966290270956, 0.0007412467685333489, 5.880657841863967e-05, 4.4493271452099133e-07]"
2022.1.00995.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.9552465469282176e-09, 0.0454248599823167, 0.0004018506900398617, 1.569347370705004e-05, 0.823155546672493, 0.13086982832483388, 0.00011907416789655294, 1.3043320290539847e-05, 1.0141317695119215e-07]"
2013.1.00742.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[6.17954232399207e-10, 0.8082662610744812, 0.006099563432706163, 6.636074378486514e-05, 0.15699782066714965, 0.0283016371997704, 0.00026437014312888027, 3.934939524719916e-06, 5.118149361958401e-08]"
2012.1.00538.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.930679753364417e-09, 0.3155798913137085, 0.0025961480790087136, 5.226731452642428e-05, 0.5096328340609616, 0.17185284013993096, 0.0002611963972988989, 2.469213125986559e-05, 1.2863262798019802e-07]"
2017.A.00025.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.07341708388746e-09, 0.1750857361876521, 0.006528434139800646, 6.803416075951679e-05, 0.5506966479404718, 0.2670848348144699, 0.00048149536848743704, 5.469207986844235e-05, 1.2423507416861975e-07]"
2021.1.00575.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.570103942357804e-06, 0.19775033639510406, 0.017721985377318512, 0.0031635345344377683, 0.4805788935115973, 0.2893156150808776, 0.010415785251048998, 0.0010194199579252573, 3.285978774682769e-05]"
2019.1.00883.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[2.087826035110316e-07, 0.6696368583342133, 0.06270875322344861, 0.002807116519958023, 0.15328496083436935, 0.09972831611600023, 0.011533814481484194, 0.0002918937704479996, 8.07793747224689e-06]"
2016.1.00915.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.3656853848695812e-09, 0.2793720325307199, 0.0010911507547808961, 3.3312609188023243e-05, 0.607425042733609, 0.11197194914751178, 9.858331710350428e-05, 7.85377043520407e-06, 7.377096952100907e-08]"
2018.1.01242.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[8.908867183893339e-08, 0.047344868343112106, 0.004132018416232749, 0.0005610612285147283, 0.652359238978438, 0.29441253995002514, 0.0009605535353470005, 0.00022372075450398583, 5.909705152121271e-06]"
2016.1.01126.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[4.593518425703199e-09, 0.7439657855170804, 0.020314186919398926, 0.00011620218298638552, 0.1835519666453927, 0.05135607106440484, 0.0006820467694417106, 1.3580482135377585e-05, 1.5582564147221116e-07]"
2016.1.00654.S,"[1, 10, 9, 5, 4, 8, 3, 7, 6]","[2.325950461302318e-07, 0.1895001984873591, 0.008826519366518655, 0.0030249515868785316, 0.5054830650464259, 0.2719675039041888, 0.02010161328272855, 0.0010825553473787389, 1.3360383477402176e-05]"
2017.1.00079.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[3.4281167532863213e-09, 0.4411442028017902, 0.004549486636839337, 9.98151262363488e-05, 0.49639434675019917, 0.056424155982532934, 0.001364949501379373, 2.254697483165596e-05, 4.927980715071226e-07]"
2017.1.00571.S,"[1, 10, 9, 5, 8, 7, 4, 6, 3]","[1.693181927989198e-08, 0.5293754373360038, 0.09482768403616511, 0.00024689140212070555, 0.2859981623195795, 0.08721387311070952, 0.0022891202786880674, 4.740221203666516e-05, 1.4123728784573162e-06]"
2023.1.01674.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.4150200805126434e-06, 0.4861137186403347, 0.05336134984186775, 0.007086920411442166, 0.24793558738447408, 0.18780877155298173, 0.01648673852144318, 0.001163776661045784, 4.1721966328110265e-05]"
2021.1.01083.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[5.9121327640699696e-09, 0.5371262846963374, 0.003996486126055986, 9.083456766545707e-05, 0.3677228043212999, 0.09078237466180623, 0.0002687338049146731, 1.2234476845795697e-05, 2.4143293970900303e-07]"
2019.1.01611.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[8.647052460283696e-11, 0.25576332886820147, 0.002234367663533142, 4.2015544461237966e-05, 0.6614211609741547, 0.07944447307239254, 0.0010908822480834124, 3.751393015338797e-06, 2.0149686236030725e-08]"
2012.1.01004.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[4.944346618145515e-10, 0.4593765744744426, 0.0015788126431994262, 4.4874997686874966e-05, 0.40111854520286516, 0.13674262086102737, 0.0011197225312708323, 1.8751346352433354e-05, 9.744871807515067e-08]"
2015.1.00250.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[6.471007144623753e-11, 0.49139664323275384, 0.007997227211483427, 3.360844739511088e-05, 0.3973480704164831, 0.10266507586054417, 0.0005548208263275746, 4.530676410502614e-06, 2.326389550586854e-08]"
2023.1.00868.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[6.135450803880983e-08, 0.3604761654666719, 0.027766112403460753, 0.000367246723432715, 0.4536855574856433, 0.13254253721476156, 0.025050231281798233, 0.00010976030043702172, 2.3277692888311417e-06]"
2016.1.00826.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[2.6285641748316885e-08, 0.05671217248854935, 0.008865096350130691, 0.0003433900986179012, 0.506440352662076, 0.42523764245770274, 0.002133935331827453, 0.00026569998498281633, 1.6843404734020652e-06]"
2023.1.01214.S,"[1, 10, 5, 9, 4, 8, 7, 3, 6]","[7.779818534073642e-09, 0.20960566296846908, 0.0010937863460226897, 7.047529322366762e-05, 0.6934906767566327, 0.09403357630323837, 0.0015796929858347426, 0.0001257081221483476, 4.1344461071600724e-07]"
2016.1.00314.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.3820366448546947e-09, 0.3801394099556849, 0.001648613884104485, 4.1361411445240094e-05, 0.5157587403349762, 0.10196922850197102, 0.0004268511516784094, 1.564139824730186e-05, 1.5197985558914013e-07]"
2019.2.00212.S,"[1, 10, 9, 5, 4, 8, 7, 6, 3]","[4.117844587564485e-07, 0.40168597931764044, 0.012641782175668834, 0.0009479161281459682, 0.35479481908747473, 0.15297718005592525, 0.0763366081429322, 0.0005998491106977777, 1.545419705760446e-05]"
2016.1.00101.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[7.54097396672376e-07, 0.4860852373533433, 0.01439606885095522, 0.0014601821128059228, 0.41674556795824436, 0.07136235169028544, 0.009477158066561612, 0.000448692666678122, 2.398720372976166e-05]"
2013.1.01031.S,"[1, 10, 9, 5, 4, 8, 7, 3, 6]","[1.3234094002408778e-09, 0.3578483020739803, 0.004199347600921818, 0.00017134513589426589, 0.5407473002063051, 0.09024667671855022, 0.006754277815663797, 3.250449200847229e-05, 2.446332679559453e-07]"
2017.1.01583.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[9.211714063926617e-09, 0.15089950664592502, 0.00995230270306495, 0.000425132255301874, 0.6722718848229643, 0.1657400058819788, 0.000646860805404851, 6.376456845581213e-05, 5.331051912625139e-07]"
2022.1.00403.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.2740078476869044e-09, 0.40253173200489545, 0.0009001009524233527, 1.2414508746573967e-05, 0.5667001445979738, 0.029547587786469855, 0.0003051651578956207, 2.766645162810211e-06, 8.707242420188575e-08]"
2018.1.00588.S,"[1, 10, 9, 8, 5, 4, 7, 6, 3]","[8.297377390254434e-09, 0.5686105538147833, 0.009712197197380404, 0.0013906658220667692, 0.38311693098759364, 0.03619535856357181, 0.0009486159939264018, 2.504031117982625e-05, 6.290121215781237e-07]"
2012.1.00640.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.012602486445945e-09, 0.5632461724254959, 0.0061706739579341875, 8.907947752535398e-05, 0.34135393919215457, 0.08753417234193292, 0.0015933888800340724, 1.2413891798699902e-05, 1.5882052244369532e-07]"
2019.1.00151.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[4.547095437888432e-09, 0.5850341840655972, 0.003902198623236257, 8.093808570074995e-05, 0.36221324991557313, 0.04661436148262826, 0.0021106271470549094, 4.388330330403331e-05, 5.528298109395736e-07]"
2017.1.01532.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[4.730026840231325e-10, 0.36737706577434953, 0.0036371244843080492, 0.00012176288332982926, 0.5031809415488555, 0.12322237356570415, 0.002438169072661183, 2.243372968867064e-05, 1.2846809906194524e-07]"
2013.1.00417.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[2.830276212420726e-09, 0.7314201713950903, 0.01297975266903304, 0.0001924947673476777, 0.19556460232878706, 0.058428954394708424, 0.0013917159666658205, 2.1971775126993966e-05, 3.33872960896081e-07]"
2013.1.00993.S,"[1, 10, 9, 5, 4, 8, 7, 3, 6]","[1.8986501486251314e-09, 0.26740455411678327, 0.0018773186209800042, 6.973919945146524e-05, 0.5755905272070992, 0.15181830395321308, 0.0031918840630184224, 4.7382749723923603e-05, 2.8819108338071145e-07]"
2017.1.00181.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.0509666773730907e-09, 0.0215429707928558, 0.0004636271114376001, 1.6886456903624582e-05, 0.8942476326258179, 0.08358117387581218, 0.00013832566369179387, 9.340520671486439e-06, 4.190183993780784e-08]"
2015.1.01593.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[7.242660098389433e-09, 0.5824624122524583, 0.002465731980392237, 0.00010343876656355685, 0.31114284480192284, 0.10242641594067407, 0.0013686088988388023, 3.007398728182426e-05, 4.661292143260684e-07]"
2017.1.00941.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.3010038979683845e-08, 0.012029464537519808, 0.003805446911072591, 0.0005418873721317787, 0.6310109033586292, 0.35165235247917964, 0.000869855663465349, 8.781955078341513e-05, 2.257117180758463e-06]"
2012.1.01111.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[9.961428527440922e-10, 0.3586584052236427, 0.00512853015654792, 0.00023975224541825996, 0.5140216914246076, 0.11774693680865139, 0.004192471422117913, 1.2097126827007983e-05, 1.1459603940277208e-07]"
2021.1.01432.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[8.519941952277974e-10, 0.5381619056443011, 0.004780123963676689, 6.125493792265569e-05, 0.3760626317186093, 0.0803414132535624, 0.0005855714576820262, 7.024321409631789e-06, 7.385083928532866e-08]"
2023.1.01706.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[2.1568066973101785e-09, 0.19405733901128833, 0.010397923172276774, 0.0003729005872403439, 0.7182582644684231, 0.07466370026259646, 0.0022373714130321486, 1.2311800133062902e-05, 1.8712820000540287e-07]"
2021.1.00912.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.4309002673541487e-08, 0.22041765196518887, 0.002708999769805808, 0.000285745362620516, 0.49180871054966324, 0.2834039020874861, 0.0011962804395258056, 0.00017692381579870924, 1.7717009059847098e-06]"
2023.1.00336.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[3.6453970839072155e-08, 0.2058503023627537, 0.01314560068690339, 0.0006470122160560863, 0.5533659771961297, 0.2227668931941967, 0.004071463788609234, 0.0001490037715231029, 3.7103298635650513e-06]"
2016.1.00346.S,"[1, 10, 9, 5, 4, 8, 3, 7, 6]","[2.2090192515001525e-09, 0.06219786951036938, 0.004438898892171712, 0.00023546068369111417, 0.6923511364888779, 0.2262524911457313, 0.014480718759273052, 4.309927868283538e-05, 3.230321813429319e-07]"
2021.2.00102.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[2.4638025137683283e-08, 0.07404493963903389, 0.0034188936121100663, 0.00016503463096319827, 0.7261017432161729, 0.19572364098686823, 0.0004667232250802951, 7.803756319949657e-05, 9.62488543395628e-07]"
2021.1.00850.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[4.114914948175404e-09, 0.23360613789257376, 0.008053659098853583, 0.0002484313970143213, 0.6326228939006917, 0.12274208022049664, 0.0026809873277334356, 4.520922687412966e-05, 5.96820848088462e-07]"
2016.2.00134.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[3.0176639456325204e-09, 0.33220019193742784, 0.003389455150855045, 5.490646223853477e-05, 0.5975433523951266, 0.06601584125279851, 0.0007648193374087961, 3.112033986867914e-05, 3.1010661138495774e-07]"
2015.1.00089.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[8.024961114958134e-09, 0.040601421616457425, 0.003426777716059301, 0.0004181222041191368, 0.7230776293393723, 0.23135961610491765, 0.0010582509324092396, 5.747494430471368e-05, 6.991173962821183e-07]"
2015.1.01243.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[3.3140629114029384e-09, 0.02408129533988597, 0.000924609639571132, 0.0002380917359750511, 0.7252182981394457, 0.24893986744528027, 0.000575840173980062, 2.167273535600811e-05, 3.2147644217272145e-07]"
2013.1.00773.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[6.233716126141329e-09, 0.051160497969407526, 0.005599440775039773, 0.0002479255175735538, 0.5038202234854897, 0.4380878804018564, 0.0009621006459103718, 0.00012133895909362613, 5.860119104740517e-07]"
2018.1.00816.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[9.146390756871152e-09, 0.31900361338187483, 0.003224912411126632, 0.00020190446648287103, 0.5881340796849874, 0.08747178457613415, 0.0019007516130043088, 6.231615489473266e-05, 6.285651043661156e-07]"
2017.1.01140.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[1.966496582417414e-09, 0.5187552193565772, 0.003977154407808507, 0.00015331589681514675, 0.343585944809712, 0.13094442451903804, 0.00256054630962811, 2.324856741431908e-05, 1.4416650848646903e-07]"
2019.1.00476.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[2.4390551408574454e-08, 0.30101456092727635, 0.015183632884097626, 0.0003334617042753555, 0.48575395960099055, 0.1964462001499356, 0.0011579567533625107, 0.0001073320622030999, 2.8715273047235083e-06]"
2022.1.00154.S,"[1, 10, 9, 5, 8, 4, 3, 7, 6]","[1.0545129009606028e-08, 0.09688064052172186, 0.003834223662250756, 0.0003412370770665059, 0.6611585031923164, 0.2370168685130766, 0.0006807072137612333, 8.682559984481406e-05, 9.836748345041345e-07]"
2018.1.01750.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[7.875754960115667e-09, 0.4350070750985706, 0.003033810592181297, 0.00010386530424126778, 0.5371053713377844, 0.02420988942505592, 0.000518546771267436, 2.05960396807474e-05, 8.375554634085996e-07]"
2017.1.00180.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.1377376503154291e-09, 0.11595318981992687, 0.001342250471283137, 2.6702089536962577e-05, 0.8230692271993004, 0.05949047325061621, 0.00010826172496790426, 9.823573147031087e-06, 7.07334865269793e-08]"
2022.1.00098.S,"[1, 10, 9, 5, 4, 8, 7, 3, 6]","[3.405655270981009e-08, 0.23984317033350624, 0.014734846378170284, 0.0018031381754143874, 0.5655495728359092, 0.15924570681891348, 0.018524365844609026, 0.00029465218941024894, 4.51336752002012e-06]"
2015.1.01584.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[3.030300891019748e-06, 0.33241186034446507, 0.014110457009837036, 0.003100460760154137, 0.5374908166473571, 0.10288921814841227, 0.008850758832414672, 0.00107972236532995, 6.367559114205004e-05]"
2015.1.00241.S,"[1, 10, 9, 5, 8, 4, 7, 3, 6]","[1.6064482521038855e-09, 0.3123935635249903, 0.0024122866107116466, 4.852990972049324e-05, 0.6372252620238446, 0.04754543841271919, 0.0003625310361436922, 1.2180745748941172e-05, 2.0612967650826802e-07]"
2012.1.00539.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[7.742813559599919e-09, 0.5401116738852201, 0.010616897352783618, 0.00028023803367317865, 0.29865305365871575, 0.14786438822816145, 0.0024430986575385816, 3.0202274933373393e-05, 4.401661623657928e-07]"
2021.1.01375.S,"[1, 10, 9, 5, 8, 4, 7, 6, 3]","[6.197318947735002e-08, 0.7158336287875613, 0.015987377134044824, 0.0010130595249128599, 0.213977493777239, 0.04866060100049914, 0.0043138359587657615, 0.00020985304677289935, 4.088797017928988e-06]"
